Precincts,Demographics,Candidates,Abstain
073-AUGUSTA CHRISTIAN,,,
073-MARVIN METHODIST,,,
073-BELAIR BAPTIST CHURCH,,,
073-BESSIE THOMAS CENTER,,,
073-WOODLAWN BAPTIST CHURCH,,,
073-TRINITY BAPTIST CHURCH,,,
073-BLUE RIDGE ELEMENTARY,,,
121-CP07B,,,
121-ML05,,,
121-FA01C,,,
121-SC23A,,,
121-12E2,,,
121-HP01,,,
121-CP02,,,
121-CP04B,,,
121-ML06B,,,
121-JC04A,,,
121-AP05,,,
121-JC04C,,,
121-ML06A,,,
121-AP12B,,,
121-ML07A,,,
121-ML07B,,,
135-LAWRENCEVILLE B,,,
135-CATES M,,,
135-CATES I,,,
135-BAYCREEK C,,,
135-MARTINS B,,,
073-GROVETOWN METHODIST CHURCH,,,
073-SECOND MT MORIAH BAPTIST CHURCH,,,
073-G A APOSTOLIC CHURCH,,,
135-MARTINS C,,,
135-MARTINS G,,,
135-GOODWINS C,,,
135-PINCKNEYVILLE C,,,
135-PINCKNEYVILLE B,,,
135-DULUTH F,,,
135-MARTINS E,,,
135-MARTINS A,,,
055-CLOUDLAND,,,
013-05 FIRE STATION 1 (STATHAM),,,
013-04 COVENANT LIFE SANCTUARY,,,
135-MARTINS J,,,
135-GOODWINS F,,,
135-PINCKNEYVILLE L,,,
135-PINCKNEYVILLE A,,,
135-MARTINS I,,,
013-03 HMONG NEW HOPE ALLIANCE CHURCH,,,
053-ACTIVITY CENTER (Includes FTBEN 1-3),,,
055-TELOGA,,,
013-13 WINDER COMMUNITY CENTER,,,
015-CASSVILLE,,,
013-16 THE CHURCH AT WINDER,,,
013-08 FIRST BAPTIST CHURCH WINDER,,,
043-JACK STRICKLAND COMM CENTER,,,
015-HAMILTON CROSSING,,,
077-NEWNAN CENTRE,,,
219-BISHOP,,,
281-MACEDONIA,,,
219-CITY HALL,,,
243-CUTHBERT-COURTHOUSE,,,
051-ROYAL CINEMAS AND IMAX,,,
013-02 BETHLEHEM CHURCH - 211,,,
243-SHELLMAN,,,
051-POOLER CHURCH,,,
185-VSU UC # 2,,,
285-GARDNER NEWMAN,,,
185-MT CALVARY,,,
185-JAYCEE SHACK,,,
285-ADMINISTRATION BLDG,,,
219-COLHAM FERRY,,,
285-ROSEMONT,,,
285-GRAY HILL,,,
285-HOGANSVILLE,,,
285-NORTHSIDE,,,
285-WEST POINT,,,
285-HOLLIS HAND,,,
285-MCCLENDON,,,
185-NORTHSIDE,,,
285-EAST VERNON,,,
189-133A,,,
147-BIO,,,
147-SHOAL CREEK,,,
311-TOWN CREEK,,,
147-COKESBURY,,,
147-HARTWELL,,,
063-ELLENWOOD 1,,,
311-TESNATEE,,,
311-MT YONAH,,,
311-NACOOCHEE,,,
291-CHOESTOE,,,
311-HELEN,,,
105-CENTERVILLE,,,
147-BOWERSVILLE,,,
311-BLUE CREEK,,,
071-MOULTRIE,,,
071-ROBINSON,,,
071-MILLCREEK,,,
027-PAVO,,,
071-LEE,,,
311-BLUE RIDGE,,,
291-TRACKROCK,,,
071-FUNSTON,,,
071-MONK,,,
071-CROSLAND,,,
105-ELBERTON,,,
321-MINTON,,,
321-SCOOTERVILLE,,,
071-AUTREYVILLE,,,
071-HOPEWELL,,,
027-MORVEN,,,
195-COLBERT,,,
265-CRAWFORDVILLE,,,
195-FORK,,,
195-COMER,,,
317-RAYLE CITY HALL,,,
071-SHAW,,,
071-NORMAN PARK,,,
221-LEXINGTON,,,
063-OAK 5,,,
185-RAINWATER,,,
063-JONESBORO 19,,,
185-HAHIRA TRAIN DEPOT,,,
221-BEAVERDAM,,,
133-UNION POINT,,,
195-DANIELSVILLE,,,
073-CHRIST CHURCH PRESBYTERIAN,,,
073-GREENBRIER HIGH,,,
063-MORROW 10,,,
073-COL CTY MAIN LIBRARY,,,
073-JOURNEY COMM CHURCH,,,
063-OAK 3,,,
063-MORROW 5,,,
073-GROVE FIRST BAPTIST CHURCH,,,
073-STEVENS CREEK CHURCH,,,
073-LEWIS METHODIST CHURCH,,,
189-133B,,,
073-GOSPEL WATER BRANCH,,,
073-WESLEY METHODIST,,,
073-WESTSIDE BAPTIST CHURCH,,,
073-CHRIST SANCTIFIED,,,
121-07C,,,
121-SS12,,,
121-SS08A,,,
121-07M,,,
121-07E,,,
121-SS14,,,
121-07B,,,
121-12M,,,
121-01P,,,
121-SS08D,,,
121-SS20,,,
121-06D1,,,
121-01R,,,
121-06D2,,,
121-05A2,,,
121-02E,,,
121-SS17,,,
121-SS01,,,
121-01T,,,
121-01B,,,
121-06I,,,
089-WINTERS CHAPEL,,,
089-YOUNG ROAD,,,
089-WYNBROOKE ELEM,,,
089-SHADOW ROCK ELEM,,,
089-SOUTH DESHON,,,
089-STONECREST LIBRARY,,,
121-06D,,,
121-06F,,,
089-TILLY MILL ROAD,,,
089-VALLEY BROOK,,,
089-WESLEY CHAPEL LIBRARY,,,
089-COAN RECREATION CENTER,,,
089-WOODROW ROAD,,,
089-WOODRIDGE ELEM,,,
089-WARREN TECH,,,
089-WHITE OAK,,,
089-STONE MTN CHAMPION,,,
089-STONE MTN,,,
089-STEPHENSON MIDDLE,,,
089-SOUTH HAIRSTON,,,
089-STEPHENSON HIGH,,,
089-TERRY MILL,,,
089-TONEY ELEM,,,
089-TUCKER,,,
089-ROCK CHAPEL ELEM,,,
089-ROCKBRIDGE ROAD,,,
089-SILVER LAKE,,,
089-SKYLAND,,,
089-STONE MILL ELEM,,,
089-STONEVIEW ELEM,,,
089-SALEM MIDDLE,,,
089-SHAMROCK,,,
089-PLEASANTDALE ROAD,,,
089-MILLER GROVE ROAD,,,
089-REDAN MIDDLE,,,
089-MILLER GROVE HIGH,,,
089-NORTH PEACHTREE,,,
089-PRINCETON ELEM,,,
089-PANOLA,,,
089-REDAN ELEM,,,
089-GLENNWOOD,,,
089-AVONDALE HIGH,,,
089-WINNONA PARK,,,
089-MONTREAL,,,
089-BRIARLAKE ELEM,,,
089-CANDLER,,,
089-EAST LAKE,,,
089-KELLEY LAKE ELEM,,,
089-MCNAIR,,,
089-GRESHAM ROAD,,,
089-MEADOWVIEW,,,
089-COLUMBIA MIDDLE,,,
089-FLAT SHOALS,,,
089-BROWNS MILL ELEM,,,
089-SNAPFINGER ELEM,,,
089-WADSWORTH,,,
089-COLUMBIA DRIVE,,,
089-ROWLAND ELEM,,,
089-AUSTIN DRIVE,,,
089-SNAPFINGER ROAD N,,,
089-GLENWOOD ROAD,,,
089-IDLEWOOD ELEM,,,
089-JOLLY ELEM,,,
089-HAMBRICK ELEM,,,
089-STONE MTN MIDDLE,,,
089-BROCKETT ELEM,,,
089-MEMORIAL SOUTH,,,
089-ROCKBRIDGE ELEM,,,
089-SNAPFINGER ROAD S,,,
089-ASHFORD PARK ELEM,,,
089-CROSS KEYS HIGH,,,
089-BRIARWOOD,,,
089-BROOKHAVEN,,,
089-NORTHLAKE,,,
089-REHOBOTH,,,
089-BROCKETT,,,
089-NORTH HAIRSTON,,,
089-PANOLA WAY ELEM,,,
089-EMORY ROAD,,,
089-LAVISTA ROAD,,,
089-HARRIS-MARGARET HARRIS ED,,,
089-WOODWARD,,,
089-ASHFORD DUNWOODY RD,,,
089-CHAMBLEE 2,,,
089-CHAMBLEE,,,
089-BURGESS ELEM,,,
089-NORTH DECATUR,,,
089-TUCKER LIBRARY,,,
089-MIDVALE ROAD,,,
089-HUGH HOWELL,,,
089-SMOKE RISE,,,
089-STONE MOUNTAIN ELEM,,,
089-MILLER GROVE,,,
089-OAKHURST,,,
089-DECATUR,,,
089-CLARKSTON,,,
089-MCLENDON,,,
089-CLARKSTON COMMUNITY CENTER,,,
089-MCNAIR ACADEMY,,,
089-PINEY GROVE,,,
089-MCNAIR HIGH,,,
215-ST JOHN/BELVEDERE,,,
253-PRECINCT 1,,,
177-REDBONE,,,
275-GATLIN CREEK,,,
131-LIMESINK,,,
275-REMINGTON ESC,,,
275-CENTRAL,,,
205-BRANCHVILLE,,,
253-PRECINCT 2,,,
037-MORGAN,,,
131-BLOWING CAVE,,,
099-CEDAR SPRINGS,,,
253-PRECINCT 5,,,
197-PINEKNOT,,,
099-URQUHART,,,
087-RECOVERY,,,
243-SPRINGVALE,,,
259-RICHLAND,,,
087-KENDRICK,,,
243-CUTHBERT,,,
037-LEARY,,,
095-LOVETT HALL,,,
243-BENEVOLENCE,,,
273-HEROD-DOVER,,,
273-PARROTT,,,
131-WHIGHAM,,,
273-GRAVES,,,
259-LUMPKIN,,,
215FTBEN2,,,
273-DAWSON,,,
259-LOUVALE,,,
215FTBEN4,,,
007-HOGGARDS MILL,,,
039-WOODBINE,,,
215-MT PILGRIM,,,
007-ELMODEL,,,
131-RAGAN,,,
007-MILFORD,,,
131-HIGDON,,,
131-DUNCANVILLE,,,
071-HAMILTON,,,
205-LESTER,,,
131-CAIRO 4TH DISTRICT,,,
039-KINGSLAND,,,
039-WEST ST MARYS,,,
131-MIDWAY,,,
039-NORTH KINGSLAND,,,
039-ST MARYS,,,
239-MORRIS,,,
215FTBEN3,,,
275-LITTLE OCHLOCKNEE,,,
205-PEBBLE CITY,,,
205-COTTON,,,
275-MERRILLVILLE,,,
205-SALE CITY,,,
215-COLUMBUS TECH,,,
071-DOERUN,,,
239-GEORGETOWN,,,
071-HARTSFIELD,,,
321-BRIDGEBORO,,,
259-OMAHA,,,
205-HINSONTON,,,
049-HOMELAND,,,
031-PITTMAN PARK,,,
007-ANNA,,,
127-BALLARD,,,
127-C B GREER SCHOOL,,,
127-FIRST BAPTIST,,,
127-SE BAPTIST BLDG,,,
127-NORTHSIDE BAPTIST,,,
031-EMIT,,,
299-Beach-Bickley,,,
127-CAREER ACADEMY,,,
031-BROOKLET,,,
031-CHURCH,,,
029-ELLABELL,,,
031-FAIR,,,
031-HAGIN,,,
299-Manor,,,
229-SUNSET-SWEAT,,,
031-STILSON,,,
299-1231-151,,,
299-Haywood,,,
299-1231-150C,,,
299-Waresboro,,,
299-1231-150B,,,
299-District 1,,,
177-SDA CHURCH,,,
299-Jamestown,,,
299-District 2A,,,
049-GA BEND,,,
299-District 2B,,,
229-HACKLEBARNEY-CASON,,,
049-ST GEORGE,,,
095-GREENBRIAR CHURCH,,,
177-CJC,,,
049-RACEPOND,,,
095-WESTOVER HIGH SCHOOL,,,
177-FRIENDSHIP BAPTIST,,,
177-FIRST BAPTIST,,,
095-1ST CHRISTIAN CHURCH,,,
095-SHERWOOD ELEMENTARY,,,
261-CONCORD,,,
199-COVE,,,
095-MERRY ACRES MIDDLE,,,
273-BRONWOOD,,,
177-SMITHVILLE,,,
095-COVENANT CHURCH,,,
261-THOMPSON,,,
095-RADIUM MIDDLE SCHOOL,,,
263-VALLEY,,,
177-CENTURY FIRE STATION,,,
249-PRECINCT ONE,,,
199-CHALYBEATE,,,
199-WOODBURY,,,
199-GILL II,,,
199-RALEIGH,,,
095-JACKSON HEIGHTS ELEMENTARY,,,
095-INTERNATIONAL STUDIES,,,
131-SPRING HILL,,,
095-PHOEBE EAST,,,
095-ALBANY MIDDLE SCHOOL,,,
095-TURNER ELEMENTARY,,,
095-PUTNEY 1ST BAPTIST CHURCH,,,
095-PALMYRA METHODIST,,,
095-PINE BLUFF BAPTIST CHURCH,,,
051-FRANK MURRAY COMM CENTER,,,
075-SPARKS,,,
095-PHOEBE HEALTHWORKS,,,
215-EDGEWOOD BAPTIST,,,
215ZZZZZZ,,,
215FTBEN1,,,
215-HOLSEY/BUENA VISTA,,,
307-PRESTON 1,,,
075-NEW LIFE BAPTIST CHURCH,,,
051-SAVANNAH HIGH SCHOOL,,,
197-BRANTLEY,,,
075-RIVERBEND,,,
071-WARRIOR,,,
251-BAY BRANCH,,,
075-ELM PINE,,,
071-TYTY,,,
051-ISLANDS CHRISTIAN CHURCH,,,
051-WILMINGTON ISLAND UMC,,,
277-OMEGA,,,
051-FIRST AFRICAN BAPTIST CHURCH,,,
051-ELI WHITNEY COMPLEX 3-15C,,,
051-THUNDERBOLT MUNI COMPLEX,,,
051-ELI WHITNEY COMPLEX 2-06C,,,
051-WOODVILLE-TOMPKINS TI,,,
103-5C,,,
019-ALAPAHA,,,
103-5B,,,
103-4A,,,
051-LIGHTHOUSE BAPTIST CHURCH,,,
103-5A,,,
051-WILMINGTON ISLAND PRES CHURCH,,,
051-FIRST BAPTIST OF THE ISLAND,,,
019-WEST BERRIEN,,,
065-HOMERVILLE,,,
051-ST FRANCIS EPISCOPAL CHURCH,,,
019-ENIGMA,,,
173-LAKELAND,,,
019-RAY CITY,,,
019-NASHVILLE,,,
065-ARABIA,,,
039-WEST KINGSLAND,,,
253-PRECINCT 4,,,
069-BRIDGETOWN,,,
003-PEARSON CITY,,,
065-ARGYLE,,,
003-WILLACOOCHEE,,,
065-FARGO,,,
003-AXSON,,,
087-ATTAPULGUS,,,
087-BDGE-FAIRGROUNDS,,,
039-SOUTH ST MARYS,,,
087-CLIMAX,,,
087-BRINSON,,,
087-BAINBRIDGE-COLISEUM,,,
253-PRECINCT 3,,,
201-COLQUITT-MILLER,,,
099-ARLINGTON,,,
127-STERLING CHURCH OF GOD,,,
099-CUBA,,,
037-ARLINGTON,,,
087-MT PLEASANT,,,
099-BLAKELY,,,
087-WEST BAINBRIDGE,,,
205-HOPEFUL,,,
115-NORTH ROME,,,
115-EAST LINDALE,,,
075-DELLE BEAMGUARD,,,
049-FOLKSTON,,,
025-HOBOKEN,,,
049-AMERICAN LEGION,,,
049-FOLKSTON FIRE,,,
229-BLACKSHEAR,,,
115-WATTERS,,,
115-ETOWAH,,,
031-BAY,,,
055-HAYWOOD,,,
115-HOWELL,,,
115-FLOYD SPRINGS,,,
055-SUBLIGNA,,,
115-CHULIO,,,
057-KELLOGG,,,
015-PINE LOG,,,
115-SOUTH ROME,,,
057-VICTORIA,,,
015-TAYLORSVILLE,,,
057-OAK GROVE,,,
057-DIXIE,,,
015-KINGSTON,,,
055-PENNVILLE,,,
057-ROSECREEK,,,
115-ARMUCHEE,,,
055-TRION,,,
129-FAIRMOUNT,,,
055-DIRTTOWN,,,
115-WEST LINDALE,,,
129-OAKMAN,,,
295-CHATTANOOGA VALLEY,,,
295-LA FAYETTE,,,
295-FAIRYLAND,,,
057-HILLSIDE,,,
083-NORTH DADE,,,
295-ROSSVILLE,,,
057-BOOTH,,,
177-FLINT REFORMED BAPTIST,,,
095-CHRIST CHURCH,,,
057-BASCOMB,,,
047-WOODSTATION,,,
295-CHICKAMAUGA,,,
047-WESTSIDE,,,
313-TR,,,
295-ROCK SPRING,,,
197-BUENA VISTA,,,
095-MT ZION CENTER,,,
095-BILL MILLER CENTER,,,
197-FORT PERRY,,,
095-2ND MT ZION CHURCH,,,
289-GOLDEN ISLES,,,
197-TAZEWELL,,,
273-SASSER,,,
095-LAMAR REESE ELEMENTARY,,,
215-FAITH TABERNACLE,,,
095-WESTTOWN ELEMENTARY,,,
095-ALICE COACHMAN ELEMENTARY,,,
095-CARVER TEEN CENTER,,,
095-DARTON COLLEGE,,,
095-LITMAN CATHEDRAL,,,
095-SHILOH BAPTIST CHURCH,,,
245-806,,,
245-506,,,
097-PRAYS MILL GYM,,,
245-808,,,
129-RED BUD,,,
015-EUHARLEE,,,
015-FOLSOM,,,
129-PINE CHAPEL,,,
047-BOYNTON,,,
047-RINGGOLD,,,
033-TELFAIR,,,
047-POPLAR SPRINGS,,,
313-VA,,,
245-608,,,
245-607,,,
245-802,,,
175-RURAL FIRE STA 17,,,
225-POWERSVILLE,,,
313-5A,,,
175-LCFS 10 VALAMBROSIA,,,
245-603,,,
313-PG,,,
047-GRAYSVILLE,,,
313-6A,,,
051-COMPASSION CHRISTIAN CHURCH,,,
051-SKIDAWAY ISLAND STATE PARK,,,
009-BODDIE,,,
051-ST THOMAS EPISCOPAL CHURCH,,,
047-CATOOSA KEITH,,,
175-HAMPTON MILL,,,
225-FORT VALLEY 2,,,
175-CADWELL,,,
175-BUCKEYE,,,
303-OCONEE,,,
051-WHITE BLUFF PRESBYTERIAN,,,
167-BRAY,,,
079-DISTRICT 5,,,
051-THE SANCTUARY,,,
051-SKIDAWAY ISLAND BAPTIST,,,
051-FERGUSON AVE BAPTIST,,,
009-COURTHOUSE,,,
237-107,,,
175-FBC-FLC,,,
009-FIRE DEPT,,,
051-ST PETERS EPISCOPAL,,,
175-CALHOUN PARK,,,
319-LORD,,,
175-FIRE DEPT STA 5,,,
029-WAYS STATION,,,
029-JF GREGORY PARK,,,
009-WEST HARDWICK,,,
029-PUBLIC SAFETY COMPLEX,,,
009-WEST BALDWIN,,,
009-SOUTH MILLEDGEVILLE,,,
009-NORTH BALDWIN,,,
009-MERIWEATHER,,,
051-BLACKSHEAR COMMUNITY CENTER,,,
051-ISLE OF HOPE BAPTIST,,,
029-KELLER,,,
051-OLD COURTHOUSE,,,
009-CITY HALL ANNEX,,,
029-DANIELSIDING,,,
029-RH REC COMPLEX,,,
179-FLEMING EAST,,,
207-BURGAYS,,,
169-FINNEY,,,
153-BMS,,,
145-MULBERRY GROVE,,,
207-BENTONS,,,
153-NSES,,,
129-CALHOUN CITY,,,
047-CHAMBERS,,,
129-SUGAR VALLEY,,,
129-RESACA,,,
047-FT OGLETHORPE,,,
295-ARMUCHEE VALLEY,,,
295-FAIRVIEW,,,
295-MOUNTAIN,,,
129-PLAINVILLE,,,
083-NEW HOME,,,
295-WALNUT GROVE,,,
015-ADAIRSVILLE,,,
129-GORDON COUNTY,,,
115-EVERETT SPRINGS,,,
083-WEST BROW,,,
097-FIRST BAPTIST DOUGLASVILLE,,,
083-SOUTH DADE,,,
139-FLOWERY BRANCH II,,,
097-CHESTNUT LOG,,,
083-TRENTON,,,
295-KENSINGTON,,,
083-NEW SALEM,,,
047-LAKEVIEW,,,
063-OAK 2,,,
063-OAK 4,,,
063-OAK 1,,,
083-DAVIS,,,
129-OOSTANAULA,,,
015-MISSION ROAD,,,
015-EMERSON,,,
015-WOODLAND,,,
015-CARTERSVILLE EAST,,,
063-RIVERDALE 10,,,
015-CARTERSVILLE WEST,,,
015-ZENA DRIVE,,,
131-WOODLAND,,,
007-NEWTON,,,
205-BACONTON,,,
131-SPENCE,,,
205-CAMILLA NORTH,,,
275-OCHLOCKNEE,,,
275-NEW COVENANT,,,
205-CAMILLA SOUTH,,,
275-SCOTT,,,
093-LILLY,,,
193-MONTEZUMA #4,,,
261-BROWNS MILL,,,
093-BYROMVILLE,,,
131-CAIRO 5TH DISTRICT,,,
205-PELHAM,,,
193-OGLETHORPE,,,
215-EPWORTH UMC,,,
275-FIRE STATION #2,,,
275-RESOURCE CENTER,,,
131-PINE PARK,,,
275-HARPER,,,
275-JERGER,,,
261-ANDERSONVILLE,,,
275-DOUGLASS,,,
145-LOWER 19TH,,,
215-MARIANNA GALLOPS,,,
215-CARVER/MACK,,,
215-OUR LADY OF LOURDES,,,
215-CUSSETA RD,,,
215-ST PAUL/CLUBVIEW,,,
275-METCALFE,,,
215-WYNNTON/BRITT,,,
129-LILY POND,,,
215-BRITT DAVID,,,
215-CORNERSTONE,,,
215-WYNNBROOK,,,
215-ST PETER,,,
145-UPPER 19TH,,,
067-ACWORTH 1A,,,
067-ACWORTH 1B,,,
067-ACWORTH 1C,,,
067-BIG SHANTY 01,,,
067-HAYES 01,,,
067-KENNESAW 2A,,,
067-KENNESAW 4A,,,
067-KENNESAW 5A,,,
067-LOST MOUNTAIN 02,,,
067-MARIETTA 4C,,,
067-ADDISON 01,,,
067-GARRISON MILL 01,,,
067-COOPER 01,,,
067-MARIETTA 2B,,,
067-BELLS FERRY 02,,,
067-HIGHTOWER 01,,,
067-BIG SHANTY 02,,,
067-CHEATHAM HILL 03,,,
067-BAKER 01,,,
067-LOST MOUNTAIN 01,,,
067-BIRNEY 01,,,
067-MARIETTA 4B,,,
067-BIRNEY 02,,,
067-EASTSIDE 02,,,
067-ELIZABETH 02,,,
067-BRYANT 01,,,
067-ELIZABETH 03,,,
067-EAST PIEDMONT 01,,,
067-BRYANT 02,,,
067-MARIETTA 4A,,,
067-BLACKWELL 01,,,
067-CHATTAHOOCHEE 01,,,
067-MABRY 01,,,
067-CHEATHAM HILL 02,,,
067-KEMP 01,,,
067-KEMP 03,,,
067-CHALKER 01,,,
067-KENNESAW 1A,,,
067-KENNESAW 3A,,,
067-FREY 01,,,
067-MABLETON 01,,,
067-MABLETON 02,,,
067-DURHAM 01,,,
067-LOST MOUNTAIN 04,,,
067-CHESTNUT RIDGE 01,,,
067-DICKERSON 01,,,
067-DOWELL 01,,,
067-KEMP 02,,,
067-LOST MOUNTAIN 03,,,
067-DODGEN 01,,,
067-DAVIS 01,,,
067-MCCLESKEY 01,,,
067-EASTSIDE 01,,,
067-ELIZABETH 01,,,
067-FULLERS PARK 01,,,
067-HARMONY-LELAND 01,,,
067-MABLETON 04,,,
067-ELIZABETH 04,,,
067-FAIR OAKS 02,,,
067-MARIETTA 2A,,,
067-ELIZABETH 05,,,
067-FAIR OAKS 04,,,
067-MARIETTA 1A,,,
067-FORD 01,,,
067-GRITTERS 01,,,
067-LINDLEY 01,,,
067-HARRISON 01,,,
067-KELL 01,,,
067-LASSITER 01,,,
067-MABLETON 03,,,
067-MACLAND 01,,,
067-MCEACHERN 01,,,
067-MURDOCK 01,,,
067-MCCLURE 01,,,
067-MARIETTA 5A,,,
067-MARIETTA 5B,,,
067-MARIETTA 6A,,,
067-MARIETTA 6B,,,
067-MARIETTA 7A,,,
067-MARS HILL 01,,,
067-MARS HILL 02,,,
067-MT BETHEL 01,,,
067-MT BETHEL 03,,,
067-MT BETHEL 04,,,
067-NORTH COBB 01,,,
067-NICKAJACK 01,,,
067-NORTON PARK 01,,,
067-NICHOLSON 01,,,
067-OAKDALE 01,,,
067-OREGON 01,,,
067-OREGON 02,,,
067-OREGON 03,,,
067-OREGON 04,,,
067-OREGON 05,,,
067-POWERS FERRY 01,,,
067-PINE MOUNTAIN 01,,,
067-PINE MOUNTAIN 02,,,
067-POST OAK 01,,,
067-PALMER 01,,,
067-PITNER 01,,,
067-ROCKY MOUNT 01,,,
067-RIVERSIDE 01,,,
067-ROSWELL 01,,,
067-ROSWELL 02,,,
067-SANDY PLAINS 01,,,
067-SIMPSON 01,,,
067-SEWELL MILL 01,,,
067-SEWELL MILL 03,,,
067-SMYRNA 1A,,,
067-SMYRNA 2A,,,
067-SMYRNA 4A,,,
067-SMYRNA 5A,,,
067-SMYRNA 6A,,,
067-SMYRNA 7A,,,
067-SOPE CREEK 01,,,
067-SOPE CREEK 02,,,
067-SOPE CREEK 03,,,
067-SWEETWATER 01,,,
067-PEBBLEBROOK 01,,,
067-SHALLOWFORD FALLS 01,,,
067-POPE 01,,,
067-POWDER SPRINGS 1A,,,
067-POWDER SPRINGS 2A,,,
067-POWDER SPRINGS 3A,,,
067-SWEETWATER 02,,,
067-TERRELL MILL 01,,,
067-VAUGHAN 01,,,
067-VININGS 01,,,
067-VININGS 02,,,
067-VININGS 03,,,
067-VININGS 04,,,
067-WADE GREEN 02,,,
067-WILLEO 01,,,
067-TIMBER RIDGE 01,,,
097-ATLANTA WEST PENTECOSTAL,,,
223-WEST RIDGE CHURCH,,,
015-ALLATOONA,,,
057-BELLS,,,
067-BELLS FERRY 03,,,
067-BELLS FERRY 04,,,
067-DOBBINS 02,,,
067-DOBBINS 01,,,
067-MARIETTA 3A,,,
067-MARIETTA 3B,,,
067-SMYRNA 3B,,,
067-SMYRNA 3A,,,
121-02F1,,,
121-CP07D,,,
121-SS29A,,,
121-UC031,,,
121-CH01,,,
061-BLUFFTON,,,
061-ZETTO,,,
061-DAYS CROSS ROAD,,,
061-OLD HEAD START,,,
061-COURT HOUSE,,,
121-FC02,,,
121-FC03,,,
121-SC14A,,,
121-09B,,,
121-CH05,,,
121-FA01D,,,
077-FISCHER ROAD,,,
317-SENIOR CITIZEN CENTER,,,
317-YOUNG FARMERS BLDG,,,
067-CLARKDALE 01,,,
067-AUSTELL 1A,,,
067-CLARKDALE 02,,,
185-NORTHGATE ASSEMBLY AND TRINITY,,,
